Country,Rank,Track_id,Streams,Track Name,Artist,URL,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,time_signature,duration_ms,key,mode,Artist_id,Artist_popularity,Artist_follower,Artist_img,acousticness_norm,danceability_norm,energy_norm,liveness_norm,loudness_norm,speechiness_norm,valence_norm,tempo_norm,mode_norm
global,21.0,2xLMifQCjDGFmkHkpNLD9h,458994547,SICKO MODE,Travis Scott,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h,0.00513,0.8340000000000001,0.73,0.0,0.124,-3.714,0.222,0.446,155.00799999999998,4,312820,8,1,0Y5tJX1MQlPlqiwlOH1tJY,98,7626718,https://i.scdn.co/image/fec51156ed94b7ee30fbd4c7fd29b4a840e7daec,-0.9829552590527498,1.028832622794834,0.6133365306727668,-0.3701037632431119,0.9953829432623469,0.8078440783817579,-0.18933932079683286,1.069490395781629,0.8457450651849541
global,22.0,3e9HZxeyfWwjeyPAMmWSSQ,457296092,"thank u, next",Ariana Grande,https://open.spotify.com/track/3e9HZxeyfWwjeyPAMmWSSQ,0.22899999999999998,0.7170000000000001,0.653,0.0,0.10099999999999999,-5.6339999999999995,0.0658,0.41200000000000003,106.96600000000001,4,207320,1,1,66CXWjxzNUsdJxJ2JdwvnR,97,40958727,https://i.scdn.co/image/b1dfbe843b0b9f54ab2e588f33e7637d2dab065a,-0.1115284480704033,0.26967597411170335,0.1663050252234782,-0.5392800771900045,0.30385058741791354,-0.5632407954496551,-0.3436477389442741,-0.49410554955597497,0.8457450651849541
global,23.0,0hVXuCcriWRGvwMV1r5Yn9,453524592,I Don't Care (with Justin Bieber),Ed Sheeran,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9,0.0912,0.7979999999999999,0.675,0.0,0.0894,-5.041,0.0442,0.8420000000000001,101.956,4,219947,6,1,6eUKZXaKkcviH0Ku9w2n3V,98,57463755,https://i.scdn.co/image/f55cab0739390cf3b2c2f773b9c779b2f0ae8a99,-0.6479228490770919,0.795245961661562,0.29402831249470374,-0.6246037833545243,0.5174332369052825,-0.7528402402304394,1.60789990233219,-0.6571632009056566,0.8457450651849541
global,24.0,4kV4N9D1iKVxx1KLvtTpjS,437732762,"break up with your girlfriend, i'm bored",Ariana Grande,https://open.spotify.com/track/4kV4N9D1iKVxx1KLvtTpjS,0.0421,0.726,0.5539999999999999,0.0,0.106,-5.29,0.0917,0.335,169.99900000000002,4,190440,5,0,66CXWjxzNUsdJxJ2JdwvnR,97,40958727,https://i.scdn.co/image/b1dfbe843b0b9f54ab2e588f33e7637d2dab065a,-0.8390474143124214,0.32807263939502046,-0.40844976749703654,-0.5025026176363322,0.4277501345067077,-0.3358970167541775,-0.6931109212193619,1.5573940387722642,-1.182389399790697
global,25.0,7FGq80cy8juXBCD2nrqdWU,437445791,Eastside (with Halsey & Khalid),benny blanco,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU,0.5489999999999999,0.632,0.6859999999999999,0.0,0.2,-7.665,0.243,0.32899999999999996,89.949,4,170770,6,0,5CiGnKThu5ctn9pBxv7DGa,83,458671,https://i.scdn.co/image/6397158bae9bf66c29bb425edba14961dbf14a20,1.1340898996954916,-0.28184808689740914,0.3578899561303158,0.18891362197270703,-0.42766098274877645,0.9921768719186315,-0.7203418185394989,-1.047948274709175,-1.182389399790697
global,26.0,21jGcNKet2qwijlDFuPiPb,428712946,Circles,Post Malone,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb,0.192,0.695,0.762,0.00244,0.0863,-3.497,0.0395,0.5529999999999999,120.042,4,215280,0,1,246dkjvS1zLTtiykXe5h60,100,21335421,https://i.scdn.co/image/93fec27f9aac86526b9010e882037afbda4e3d5f,-0.25555306953083484,0.1269285700858147,0.7991158576127312,-0.647405808277801,1.073540506396848,-0.7940956749744064,0.2962783480789381,-0.06852833417704589,0.8457450651849541
global,27.0,5qmq61DAAOUaW8AUo8xKhh,428395771,Truth Hurts,Lizzo,https://open.spotify.com/track/5qmq61DAAOUaW8AUo8xKhh,0.11,0.715,0.624,0.0,0.12300000000000001,-3.0460000000000003,0.114,0.41200000000000003,158.08700000000002,4,173325,4,0,56oDRnqbIiwx4mymNEv7dS,88,1838446,https://i.scdn.co/image/e33e4245fe5901ed940ba95070bb8d56679b6fe0,-0.5747427711458455,0.25669893738207644,-0.0020574898158644975,-0.37745925515384626,1.2359785753998893,-0.14015314552216399,-0.3436477389442741,1.1697008765212848,-1.182389399790697
global,28.0,2IRZnDFmlqMuOrYOLnZZyc,424959272,Going Bad (feat. Drake),Meek Mill,https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc,0.259,0.889,0.496,0.0,0.252,-6.365,0.0905,0.544,86.00299999999999,4,180522,4,0,20sxb77xiYeusSH8cVdatc,88,3826161,https://i.scdn.co/image/2c9ec5abeb91b41b6fac18ec974c7a2b85319c5d,0.005248272032649468,1.3857011328595532,-0.7451747975757214,0.5713992013308988,0.040564049854225334,-0.3464303192419989,0.2554320020987335,-1.1763765166704216,-1.182389399790697
global,29.0,5WHTFyqSii0lmT9R21abT8,415230966,Don't Call Me Up,Mabel,https://open.spotify.com/track/5WHTFyqSii0lmT9R21abT8,0.29600000000000004,0.674,0.8809999999999999,3.01e-06,0.0793,-2.853,0.147,0.23399999999999999,98.994,4,178480,9,1,1MIVXf74SZHmTIp4V4paH4,82,554723,https://i.scdn.co/image/f6cdfc9316e797af4b4039244bf59796c9f2977f,0.14927289349308123,-0.009330315575259441,1.4899827296707224,-0.6988942516529423,1.305491984086335,0.14951267289292314,-1.1514976927749965,-0.7535657484700793,0.8457450651849541
global,30.0,285pBltuF7vW8TeWk8hdRR,413902280,Lucid Dreams,Juice WRLD,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR,0.349,0.511,0.5660000000000001,0.0,0.34,-7.23,0.2,0.218,83.90299999999999,4,239836,6,0,4MCBfE4596Uoi2O4DtmEMz,98,7403812,https://i.scdn.co/image/d8e62447a338a882b490460da20e90aac6d60ae7,0.35557843234180736,-1.0669588090397921,-0.33878251989454927,1.2186824894755313,-0.2709856833777721,0.6147335327716997,-1.2241134189620277,-1.244724035200228,-1.182389399790697
